Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
1048;Dresden-Klotzsche;FX;30.08.1979;30.08.1979;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;07.09.1979;07.09.1979;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;30.10.1979;31.10.1979;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;17.11.1979;17.11.1979;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;22.11.1979;22.11.1979;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;24.12.1979;24.12.1979;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;08.01.1980;09.01.1980;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;16.01.1980;16.01.1980;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;26.02.1980;26.02.1980;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;26.04.1980;26.04.1980;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;29.04.1980;29.04.1980;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;26.08.1980;26.08.1980;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;28.08.1980;28.08.1980;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;22.09.1980;24.09.1980;3;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;27.09.1980;27.09.1980;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;22.01.1981;22.01.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;20.02.1981;21.02.1981;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;16.03.1981;16.03.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;06.04.1981;06.04.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;30.05.1981;31.05.1981;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;02.06.1981;02.06.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;05.07.1981;06.07.1981;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;08.07.1981;09.07.1981;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;13.07.1981;13.07.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;13.08.1981;14.08.1981;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;30.08.1981;30.08.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;05.09.1981;07.09.1981;3;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;10.09.1981;10.09.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;12.09.1981;12.09.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;15.09.1981;17.09.1981;3;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;23.10.1981;23.10.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;16.11.1981;16.11.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;16.12.1981;17.12.1981;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;27.12.1981;27.12.1981;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;10.01.1982;10.01.1982;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;22.01.1982;24.01.1982;3;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;26.02.1982;27.02.1982;2;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;22.06.1982;22.06.1982;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;19.07.1982;19.07.1982;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;12.09.1982;12.09.1982;1;;eor;                                                                                                                                                 
1048;Dresden-Klotzsche;FX;14.09.1982;17.09.1982;4;;eor;                                                                                                                                                 
